source_cluster,destination_cluster,hour, count, passengers, fare, trip time, trip distance, JFK trips, credit payments, cash payments
2,20,23,169,1.8,45.15,32.16,13.26,0,0.67,0.33
13,5,10,44,1.43,64.02,52.59,15.22,1,0.55,0.45
5,12,17,171,1.68,50.69,49.79,11.18,0.05,0.61,0.38
2,9,9,160,1.7,30.11,35.75,7.14,0.01,0.65,0.34
22,10,3,1,5,53.8,52,17.33,0,0,1
15,25,9,14,2.43,49.76,25.64,14.78,0,0.29,0.71
7,5,11,200,1.52,26.14,26.48,4.97,0.02,0.66,0.34
28,18,4,148,1.73,12.17,8.51,2.6,0,0.45,0.54
5,9,7,662,1.62,35.9,28.58,8.61,0.01,0.66,0.34
23,5,12,13165,1.69,14.18,16.52,2.16,0,0.65,0.34
23,20,10,28,1.54,44.35,35.57,11.82,0,0.5,0.5
9,10,12,253,1.73,24.23,19.38,5.31,0.01,0.63,0.37
9,2,2,66,1.42,20.76,15.76,4.85,0,0.61,0.39
10,15,20,331,1.74,62.67,35.99,17.98,0.89,0.73,0.27
9,5,22,287,1.67,39.02,29.06,8.61,0.06,0.82,0.17
28,5,11,623,1.76,26.28,29.01,5.68,0,0.71,0.29
9,5,14,428,1.74,44.14,36.44,9.2,0.08,0.72,0.28
15,6,1,27,1.44,42.02,20.37,11.52,0,0.37,0.63
5,5,8,130414,1.61,10.85,11.19,1.52,0,0.64,0.36
3,3,19,122,1.8,14.33,22.25,2.99,0.01,0.38,0.61
5,10,10,25640,1.67,15.9,17.86,2.74,0,0.55,0.45
9,1,3,8,1.63,45.99,24.5,14.27,0,0.38,0.63
15,21,23,232,1.76,40.17,21.07,11.62,0,0.44,0.56
15,29,11,210,1.8,20.88,15.23,8.31,0,0.21,0.77
9,7,16,83,1.86,13.51,12.17,2.45,0,0.42,0.58
28,7,1,37,1.57,33.01,23.06,7.95,0,0.54,0.46
21,28,19,414,1.78,36.53,21.71,7.84,0,0.8,0.2
9,20,4,30,1.67,31.46,16.67,8.24,0,0.33,0.67
9,9,12,145,1.59,12.85,11.12,2.62,0,0.39,0.58
2,7,17,46,1.59,37.69,39.87,9.33,0,0.41,0.57
9,18,6,56,1.57,33.04,44.79,7.36,0.04,0.82,0.18
5,2,15,12019,1.73,19.97,23.15,3.93,0,0.59,0.41
28,5,5,414,1.5,22.05,14.86,5.81,0,0.67,0.32
5,22,15,21,1.24,56.01,119.71,18.14,0.09,0.24,0.67
18,2,3,213,1.72,24.89,19.35,6.44,0,0.65,0.34
5,18,9,16356,1.68,13.68,15.94,2.13,0,0.57,0.43
7,7,1,1514,1.68,10.21,9.69,1.87,0,0.23,0.75
18,5,21,27434,1.71,14.11,13.91,2.48,0,0.62,0.37
15,8,17,33,1.88,54.57,39.03,15.4,0,0.42,0.58
15,9,12,429,1.76,44.31,38.51,13.31,0.01,0.41,0.59
21,1,0,82,1.72,50.2,23.22,12.86,0,0.52,0.45
28,21,7,169,1.64,36.89,26.62,8.18,0,0.78,0.22
18,20,7,935,1.57,21.89,17.6,5.75,0,0.72,0.27
5,27,19,2,2,46.18,42.5,18.2,0,0.5,0.5
28,21,13,100,1.49,42.86,27.48,9.15,0,0.72,0.26
